NodeNum,Inst,SEQ,Method,FlexLex,CP,Obj,Time,sel
15,15-PatPS_1045_5822_2_3_2_2,1045,TI,H,11.9,21.76,2.867,1_0
15,15-PatPS_1046_5628_1_2_1_1,1046,TI,L,42.62,51.91,1.706,13
15,15-PatPS_1047_5628_2_3_2_2,1047,TI,H,30.52,33.48,1.809,11_9
15,15-PatPS_1048_5901_1_2_1_1,1048,TI,L,49.510002,62.82,6.087,9
15,15-PatPS_1049_5901_2_3_2_2,1049,TI,H,32.059998,36.27,2.273,10_9
15,15-PatPS_1050_5985_1_2_1_1,1050,TI,L,37.77,46.15,1.771,12
15,15-PatPS_1051_5985_2_3_2_2,1051,TI,H,9.190001,16.6,2.493,10_6
15,15-PatPS_1052_5162_1_2_1_1,1052,TI,L,53.629997,61.08,2.328,4
15,15-PatPS_1053_5162_2_3_2_2,1053,TI,H,24.22,33.46,2.582,4_9
15,15-PatPS_1054_5375_1_2_1_1,1054,TI,L,37.979996,43.69,2.687,6
15,15-PatPS_1055_5375_2_3_2_2,1055,TI,H,8.04,16.08,3.343,6_11
15,15-PatPS_1056_5066_1_2_1_1,1056,TI,L,44.14,54.77,6.148,4
15,15-PatPS_1057_5066_2_3_2_2,1057,TI,H,16.1,20.66,2.697,4_13
15,15-PatPS_1058_5244_1_2_1_1,1058,TI,L,45.72,53.36,1.759,12
15,15-PatPS_1059_5244_2_3_2_2,1059,TI,H,14.959999,24.22,2.365,12_0
15,15-PatPS_1060_5876_1_2_1_1,1060,TI,L,40.379997,43.05,3.394,7
15,15-PatPS_1061_5876_2_3_2_2,1061,TI,H,26.72,27.85,2.528,5_13
15,15-PatPS_1062_5394_1_2_1_1,1062,TI,L,47.699997,68.21,4.339,4
15,15-PatPS_1063_5394_2_3_2_2,1063,TI,H,33.2,40.03,4.487,7_11
15,15-PatPS_1064_5703_1_2_1_1,1064,TI,L,43.609997,51.65,2.839,1
15,15-PatPS_1065_5703_2_3_2_2,1065,TI,H,15.570001,21.72,3.282,12_7
15,15-PatPS_1066_5123_1_2_1_1,1066,TI,L,45.170002,59,4.986,7
15,15-PatPS_1067_5123_2_3_2_2,1067,TI,H,18.359999,28.79,3.218,2_11
15,15-PatPS_1068_5601_1_2_1_1,1068,TI,L,46.370003,57.45,4.825,5
15,15-PatPS_1069_5601_2_3_2_2,1069,TI,H,31.41,36.66,2.247,5_7
15,15-PatPS_1070_5563_1_2_1_1,1070,TI,L,53.379997,59.83,5.095,2
15,15-PatPS_1071_5563_2_3_2_2,1071,TI,H,23.3,34.99,4.274,2_9
15,15-PatPS_1072_5435_1_2_1_1,1072,TI,L,50.07,52.56,2.723,14
15,15-PatPS_1073_5435_2_3_2_2,1073,TI,H,16.98,27.5,2.627,10_6
15,15-PatPS_1074_5026_1_2_1_1,1074,TI,L,27.76,38.24,6.71,10
15,15-PatPS_1075_5026_2_3_2_2,1075,TI,H,12.49,17.63,4.033,3_0
15,15-PatPS_1076_5028_1_2_1_1,1076,TI,L,21.25,32.61,15.394,8
15,15-PatPS_1077_5028_2_3_2_2,1077,TI,H,11.14,19.63,2.317,3_0
15,15-PatPS_1078_5135_1_2_1_1,1078,TI,L,46.55,46.55,1.806,8
15,15-PatPS_1079_5135_2_3_2_2,1079,TI,H,22.65,26.6,2.517,5_8
15,15-PatPS_1080_6090_1_2_1_1,1080,TI,L,59.49,79.23,10.723,6
15,15-PatPS_1081_6090_2_3_2_2,1081,TI,H,23.54,31.95,3.027,4_15
15,15-PatPS_1082_6340_1_2_1_1,1082,TI,L,53.28,57.46,2.44,14
15,15-PatPS_1083_6340_2_3_2_2,1083,TI,H,24.27,29.96,2.441,12_0
15,15-PatPS_1084_6198_1_2_1_1,1084,TI,L,49.5,56.77,3.603,3
15,15-PatPS_1085_6198_2_3_2_2,1085,TI,H,17.59,23.1,2.2,8_12
15,15-PatPS_1086_6219_1_2_1_1,1086,TI,L,36.51,38.72,1.641,7
15,15-PatPS_1087_6219_2_3_2_2,1087,TI,H,8.190001,12.71,1.692,10_0
15,15-PatPS_1088_6360_1_2_1_1,1088,TI,L,58.97,59.98,2.178,4
15,15-PatPS_1089_6360_2_3_2_2,1089,TI,H,27.82,31.02,2.277,4_6
15,15-PatPS_1090_6367_1_2_1_1,1090,TI,L,52.72,64.44,4.415,2
15,15-PatPS_1091_6367_2_3_2_2,1091,TI,H,17.05,23.95,3.214,1_0
15,15-PatPS_1092_6871_1_2_1_1,1092,TI,L,54.07,56.09,3.315,11
15,15-PatPS_1093_6871_2_3_2_2,1093,TI,H,28.76,34.37,1.856,11_9
15,15-PatPS_1094_6143_1_2_1_1,1094,TI,L,63.08,65.94,2.874,2
15,15-PatPS_1095_6143_2_3_2_2,1095,TI,H,20.15,21.71,1.588,12_0
15,15-PatPS_1096_6874_1_2_1_1,1096,TI,L,82.200005,98.96,13.164,4
15,15-PatPS_1097_6874_2_3_2_2,1097,TI,H,37.440002,43.91,3.98,4_12
15,15-PatPS_1098_6572_1_2_1_1,1098,TI,L,62.409996,64.3,1.731,13
15,15-PatPS_1099_6572_2_3_2_2,1099,TI,H,24.560001,28.49,1.859,13_12
15,15-PatPS_1100_6065_1_2_1_1,1100,TI,L,44.21,46.9,2.608,10
